     TURKIYE TURKCESININ DIGRAFIK PARAMETRELERI
         ( BOSLUK DAHIL , 30 KARAKTER ICIN )       

Digraf  Frekans      Log(F)     Log (F)   Olasilik    Gecis     Entropi
                                   C                 Olasilik
======  =======     ========    ========  ========   =========  ========
  F›         87     1.939519    0.374943  0.000014   0.003749   0.000226
  FD         24     1.380211    0.266819  0.000004   0.001034   0.000070
  FE       4973     3.696619    0.714622  0.000802   0.214289   0.008250
  FF        443     2.646404    0.511597  0.000071   0.019089   0.000984
  FG          8     0.903090    0.174583  0.000001   0.000345   0.000025
  F!          0     0.000000    0.000000  0.000000   0.000000   0.000000
  FH         16     1.204120    0.232778  0.000003   0.000689   0.000048
  FI       2329     3.367169    0.650934  0.000376   0.100358   0.004275
  F$       2312     3.363988    0.650318  0.000373   0.099625   0.004248
  FJ          1     0.000000    0.000000  0.000000   0.000043   0.000004
  FK        375     2.574031    0.497606  0.000060   0.016159   0.000848
  FL        604     2.781037    0.537624  0.000097   0.026027   0.001298
  FM          4     0.602060    0.116389  0.000001   0.000172   0.000013
  FN         26     1.414973    0.273539  0.000004   0.001120   0.000075
  FO        363     2.559907    0.494875  0.000059   0.015642   0.000823
  F#        119     2.075547    0.401240  0.000019   0.005128   0.000301
  FP          1     0.000000    0.000000  0.000000   0.000043   0.000004
  FR        700     2.845098    0.550008  0.000113   0.030163   0.001481
  FS        167     2.222717    0.429690  0.000027   0.007196   0.000409
  F@         27     1.431364    0.276708  0.000004   0.001163   0.000078
  FT       1509     3.178689    0.614497  0.000243   0.065023   0.002922
  FU        382     2.582063    0.499159  0.000062   0.016461   0.000862
  F"        139     2.143015    0.414283  0.000022   0.005990   0.000346
  FV          1     0.000000    0.000000  0.000000   0.000043   0.000004
  FY         47     1.672098    0.323246  0.000008   0.002025   0.000129
  FZ          3     0.477121    0.092236  0.000000   0.000129   0.000010
  Fb       1940     3.287802    0.635590  0.000313   0.083595   0.003644

  GA       3709     3.569257    0.690001  0.000598   0.052120   0.006406
  GB          2     0.301030    0.058194  0.000000   0.000028   0.000007
  GC          0     0.000000    0.000000  0.000000   0.000000   0.000000
  G›          0     0.000000    0.000000  0.000000   0.000000   0.000000
  GD          6     0.778151    0.150430  0.000001   0.000084   0.000019
  GE      21463     4.331690    0.837393  0.003463   0.301603   0.028303
  GF          0     0.000000    0.000000  0.000000   0.000000   0.000000
  GG          4     0.602060    0.116389  0.000001   0.000056   0.000013
  G!          6     0.778151    0.150430  0.000001   0.000084   0.000019
  GH          2     0.301030    0.058194  0.000000   0.000028   0.000007
  GI       1600     3.204120    0.619413  0.000258   0.022484   0.003077
  G$      16905     4.228015    0.817350  0.002727   0.237553   0.023232
  GJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  GK          0     0.000000    0.000000  0.000000   0.000000   0.000000
  GL         35     1.544068    0.298496  0.000006   0.000492   0.000098
  GM          5     0.698970    0.135123  0.000001   0.000070   0.000016
  GN          4     0.602060    0.116389  0.000001   0.000056   0.000013
  GO        283     2.451787    0.473974  0.000046   0.003977   0.000658
  G#      14340     4.156549    0.803535  0.002313   0.201509   0.020256
  GP          0     0.000000    0.000000  0.000000   0.000000   0.000000
  GR        193     2.285557    0.441839  0.000031   0.002712   0.000466
  GS          5     0.698970    0.135123  0.000001   0.000070   0.000016
  G@          1     0.000000    0.000000  0.000000   0.000014   0.000004
  GT          6     0.778151    0.150430  0.000001   0.000084   0.000019
  GU       1774     3.248954    0.628080  0.000286   0.024929   0.003369
  G"      10781     4.032659    0.779584  0.001739   0.151497   0.015944
  GV          2     0.301030    0.058194  0.000000   0.000028   0.000007
  GY          3     0.477121    0.092236  0.000000   0.000042   0.000010
  GZ          5     0.698970    0.135123  0.000001   0.000070   0.000016
  Gb         29     1.462398    0.282707  0.000005   0.000408   0.000083

  !A       5157     3.712397    0.717672  0.000832   0.085956   0.008512
  !B         10     1.000000    0.193318  0.000002   0.000167   0.000031
  !C         15     1.176091    0.227359  0.000002   0.000250   0.000045
  !›          2     0.301030    0.058194  0.000000   0.000033   0.000007
  !D        575     2.759668    0.533493  0.000093   0.009584   0.001243
  !E       2591     3.413467    0.659884  0.000418   0.043186   0.004692
  !F         50     1.698970    0.328441  0.000008   0.000833   0.000136
  !G          0     0.000000    0.000000  0.000000   0.000000   0.000000
  !!          2     0.301030    0.058194  0.000000   0.000033   0.000007
  !H          2     0.301030    0.058194  0.000000   0.000033   0.000007
  !I      15174     4.181100    0.808281  0.002448   0.252917   0.021234
  !$      15218     4.182358    0.808524  0.002455   0.253650   0.021286
  !J          0     0.000000    0.000000  0.000000   0.000000   0.000000
  !K          5     0.698970    0.135123  0.000001   0.000083   0.000016
  !L       4568     3.659726    0.707490  0.000737   0.076138   0.007669
  !M        861     2.935003    0.567388  0.000139   0.014351   0.001780
  !N        230     2.361728    0.456564  0.000037   0.003834   0.000546
  !O         41     1.612784    0.311780  0.000007   0.000683   0.000114
  !#          0     0.000000    0.000000  0.000000   0.000000   0.000000
  !P          0     0.000000    0.000000  0.000000   0.000000   0.000000
  !R       4813     3.682416    0.711876  0.000776   0.080222   0.008022
  !S        248     2.394452    0.462890  0.000040   0.004134   0.000585
  !@          6     0.778151    0.150430  0.000001   0.000100   0.000019
  !T          6     0.778151    0.150430  0.000001   0.000100   0.000019
  !U       7422     3.870521    0.748240  0.001197   0.123708   0.011622
  !"       1851     3.267406    0.631648  0.000299   0.030852   0.003497
  !V          3     0.477121    0.092236  0.000000   0.000050   0.000010
  !Y          3     0.477121    0.092236  0.000000   0.000050   0.000010
  !Z        575     2.759668    0.533493  0.000093   0.009584   0.001243
  !b        568     2.754348    0.532464  0.000092   0.009467   0.001229

  HA      24858     4.395466    0.849721  0.004010   0.410523   0.031930
  HB        212     2.326336    0.449722  0.000034   0.003501   0.000507
  HC         23     1.361728    0.263246  0.000004   0.000380   0.000067
  H›        629     2.798651    0.541029  0.000101   0.010388   0.001346
  HD         51     1.707570    0.330104  0.000008   0.000842   0.000139
  HE      11510     4.061075    0.785078  0.001857   0.190085   0.016847
  HF         19     1.278754    0.247206  0.000003   0.000314   0.000056
  HG          0     0.000000    0.000000  0.000000   0.000000   0.000000
  H!          4     0.602060    0.116389  0.000001   0.000066   0.000013
