     TURKIYE TURKCESININ DIGRAFIK PARAMETRELERI
         ( BOSLUK DAHIL , 30 KARAKTER ICIN )       

Digraf  Frekans      Log(F)     Log (F)   Olasilik    Gecis     Entropi
                                   C                 Olasilik
======  =======     ========    ========  ========   =========  ========
  ZM       1463     3.165244    0.611898  0.000236   0.018289   0.002844
  ZN         71     1.851258    0.357881  0.000011   0.000888   0.000188
  ZO        893     2.950851    0.570452  0.000144   0.011163   0.001838
  Z#          9     0.954243    0.184472  0.000001   0.000113   0.000028
  ZP          7     0.845098    0.163372  0.000001   0.000088   0.000022
  ZR         98     1.991226    0.384939  0.000016   0.001225   0.000252
  ZS        698     2.843855    0.549768  0.000113   0.008726   0.001477
  Z@          0     0.000000    0.000000  0.000000   0.000000   0.000000
  ZT         42     1.623249    0.313803  0.000007   0.000525   0.000116
  ZU       2592     3.413635    0.659916  0.000418   0.032402   0.004693
  Z"       4123     3.615213    0.698885  0.000665   0.051541   0.007020
  ZV         43     1.633469    0.315778  0.000007   0.000538   0.000119
  ZY        198     2.296665    0.443986  0.000032   0.002475   0.000477
  ZZ         91     1.959041    0.378717  0.000015   0.001138   0.000236
  Zb      23799     4.376559    0.846066  0.003839   0.297506   0.030811

  bA      62468     4.795658    0.927086  0.010078   0.071255   0.066843
  bB      123572     5.091920    0.984358  0.019936   0.140954   0.112606
  bC       6135     3.787815    0.732252  0.000990   0.006998   0.009878
  b›      29544     4.470469    0.864221  0.004766   0.033700   0.036762
  bD      78865     4.896884    0.946654  0.012723   0.089958   0.080110
  bE      30457     4.483687    0.866776  0.004914   0.034741   0.037682
  bF       7098     3.851136    0.744493  0.001145   0.008096   0.011188
  bG      59368     4.773552    0.922812  0.009578   0.067719   0.064229
  b!          0     0.000000    0.000000  0.000000   0.000000   0.000000
  bH      36045     4.556845    0.880919  0.005815   0.041115   0.043183
  bI       2140     3.330414    0.643828  0.000345   0.002441   0.003970
  b$      41076     4.613588    0.891888  0.006627   0.046854   0.047961
  bJ        243     2.385606    0.461180  0.000039   0.000277   0.000574
  bK      82699     4.917500    0.950640  0.013342   0.094331   0.083091
  bL       2995     3.476397    0.672049  0.000483   0.003416   0.005322
  bM      23927     4.378888    0.846517  0.003860   0.027293   0.030947
  bN      17141     4.234036    0.818514  0.002765   0.019552   0.023501
  bO      42228     4.625600    0.894211  0.006813   0.048168   0.049034
  b#      13480     4.129690    0.798342  0.002175   0.015376   0.019235
  bP      10933     4.038739    0.780760  0.001764   0.012471   0.016134
  bR       5212     3.717004    0.718563  0.000841   0.005945   0.008590
  bS      59386     4.773684    0.922838  0.009581   0.067739   0.064244
  b@      11871     4.074487    0.787671  0.001915   0.013541   0.017290
  bT      26795     4.428054    0.856021  0.004323   0.030564   0.033950
  bU       9710     3.987219    0.770800  0.001566   0.011076   0.014597
  b"       6997     3.844912    0.743290  0.001129   0.007981   0.011052
  bV      23922     4.378798    0.846499  0.003859   0.027287   0.030942
  bY      54897     4.739549    0.916239  0.008856   0.062619   0.060392
  bZ       7482     3.874018    0.748916  0.001207   0.008534   0.011702
  bb          0     0.000000    0.000000  0.000000   0.000000   0.000000
======  =======     ========    ========  ========   ========   ========
Toplam  6198571  2229.560059  431.013062  1.000000  29.999985   7.829702   


En buyuk Digraf frekansi=132161
C tabani => C = Antilog(Log(en buyuk digraf)/0.99)
C tabani => C = 148878.375000

Digrafik Entropi               H2(M) = 7.829702
Digrafik Oran            r = H2(M)/2 = 3.914851
Digrafik Mutlak Oran           R     = 4.906890
Digrafik Fazlalik             D=R-r  = 0.992040
Digrafik Tesadufluk Indeksi       IC = 0.006817
